Data,ACK,RESP,MACPayload,DevAddr
test_dazw,True,True,confirmed downlink,10ac7a59
testFdzO*,True,True,confirmed downlink,10ac7a59
c5s[r&wda,True,True,confirmed downlink,10ac7a59
WiChydata,True,True,confirmed downlink,10ac7a59
tdsj_px&I,True,True,confirmed downlink,10ac7a59
jej2_dat3,True,True,confirmed downlink,10ac7a59
J@sVZN~yW,True,True,confirmed downlink,10ac7a59
XC!tH\aTI,True,True,confirmed downlink,10ac7a59
e7+Z_dp+l,True,True,confirmed downlink,10ac7a59
reO`_dptn,True,True,confirmed downlink,10ac7a59
t$uiBuao8,True,True,confirmed downlink,10ac7a59
@eptisata,True,True,confirmed downlink,10ac7a59
~eEt_%ata,True,True,confirmed downlink,10ac7a59
tbP7_RJ@a,True,True,confirmed downlink,10ac7a59
[es\_HaEa,True,True,confirmed downlink,10ac7a59
veRtYdant,True,True,confirmed downlink,10ac7a59
te@tEhQSa,True,True,confirmed downlink,10ac7a59
tes*_Da%a,True,True,confirmed downlink,10ac7a59
te0tXJata,True,True,confirmed downlink,10ac7a59
7esQ_!ata,True,True,confirmed downlink,10ac7a59
